id,cec_client_id,transaction_by,transaction_name,changed_value,timestamp,changed_to,policy_reference
12980,345,1524,Removed Member,519594,2024-11-12 12:57:34+00:00,,PL/001114/2024
12979,345,1524,Removed Member,519596,2024-11-12 12:52:53+00:00,,PL/001114/2024
